id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23,Listing_23,811,Host_144,Manhattan,Neighborhood_39,40.70568405707124,-73.93193549817954,Private room,134,1,24,,4.265009940286455,3,225
24,Listing_24,493,Host_660,Brooklyn,Neighborhood_10,40.66826503346246,-73.93860958166717,Private room,57,2,14,,5.327953856126733,3,264
25,Listing_25,43,Host_742,Brooklyn,Neighborhood_187,40.58480952756418,-73.92753774223192,Private room,98,3,30,2019-01-02 17:56:28.277655531,0.26524036898748427,2,68
26,Listing_26,575,Host_815,Queens,Neighborhood_153,40.72620520800867,-73.85164524423774,Private room,189,1,31,2019-01-02 19:41:19.455891178,1.6558294498949475,4,8
27,Listing_27,73,Host_250,Manhattan,Neighborhood_110,40.72212765910662,-74.00547247110812,Entire home/apt,164,3,18,2019-01-02 21:26:10.634126825,2.213757296242993,2,280
28,Listing_28,698,Host_225,Brooklyn,Neighborhood_28,40.63579921396837,-73.88059759292217,Entire home/apt,201,1,19,2019-01-02 23:11:01.812362472,0.0719858848090913,1,39
29,Listing_29,629,Host_903,Brooklyn,Neighborhood_61,40.66836781039703,-73.90583673670501,Private room,85,2,19,2019-01-03 00:55:52.990598119,2.261769333581692,2,194
30,Listing_30,304,Host_919,Manhattan,Neighborhood_58,40.72412067746281,-74.00486730226947,Entire home/apt,353,7,26,2019-01-03 02:40:44.168833766,0.5581895103564014,2,280
31,Listing_31,5,Host_971,Queens,Neighborhood_44,40.79516808767675,-73.87218344334562,Entire home/apt,123,2,19,2019-01-03 04:25:35.347069413,3.104455812093641,2,306
32,Listing_32,987,Host_673,Manhattan,Neighborhood_83,40.77030316999741,-73.99996567271128,Private room,170,2,24,2019-01-03 06:10:26.525305061,0.026515853393580313,4,145
33,Listing_33,588,Host_168,Manhattan,Neighborhood_151,40.73196181255081,-74.00491405925435,Private room,155,1,20,2019-01-03 07:55:17.703540708,1.6226993314029095,1,342
34,Listing_34,803,Host_110,Bronx,Neighborhood_125,40.82417449125861,-73.92392277294081,Private room,35,1,25,2019-01-03 09:40:08.881776355,5.197700415805269,2,186
35,Listing_35,349,Host_773,Staten Island,Neighborhood_145,40.51413645996068,-74.22394426144302,Entire home/apt,87,2,27,2019-01-03 11:25:00.060012002,1.2783483235215873,1,161
36,Listing_36,400,Host_173,Bronx,Neighborhood_79,40.80332948995464,-73.82585922259311,Entire home/apt,223,2,29,2019-01-03 13:09:51.238247649,0.3890605778936891,1,308
37,Listing_37,595,Host_511,Manhattan,Neighborhood_85,40.70205109193204,-73.99755617908036,Private room,163,1,17,2019-01-03 14:54:42.416483296,1.4983847066967297,2,302
38,Listing_38,433,Host_879,Manhattan,Neighborhood_38,40.78906666758919,-73.955332181369,Private room,130,7,26,2019-01-03 16:39:33.594718943,4.965352236020921,1,60
39,Listing_39,572,Host_297,Queens,Neighborhood_30,40.6961923413571,-73.78272341167145,Private room,129,1,24,2019-01-03 18:24:24.772954590,3.5231241809671876,2,241
40,Listing_40,107,Host_904,Brooklyn,Neighborhood_147,40.72902523405935,-74.0035328908152,Private room,99,2,26,,3.5164462160252445,6,239
41,Listing_41,117,Host_243,Manhattan,Neighborhood_32,40.70394519529227,-74.01869764226474,Private room,113,2,31,2019-01-03 21:54:07.129425885,0.0034440700050129003,4,56
42,Listing_42,819,Host_209,Brooklyn,Neighborhood_20,40.597884286672674,-73.92018165189229,Private room,242,2,28,2019-01-03 23:38:58.307661532,2.8329072832536664,2,193
43,Listing_43,383,Host_243,Manhattan,Neighborhood_102,40.70318567625283,-73.9777627303276,Entire home/apt,435,2,21,2019-01-04 01:23:49.485897179,1.593708238207416,6,332
44,Listing_44,859,Host_254,Bronx,Neighborhood_64,40.91020096631953,-73.8624093822172,Private room,160,1,25,2019-01-04 03:08:40.664132826,2.01725407329837,3,70
45,Listing_45,82,Host_82,Manhattan,Neighborhood_36,40.778392527914185,-73.97326479258443,Private room,250,7,21,2019-01-04 04:53:31.842368473,3.5921198260087284,2,161
46,Listing_46,827,Host_434,Queens,Neighborhood_193,40.76306750580461,-73.85824169572543,Private room,100,2,29,2019-01-04 06:38:23.020604120,5.246038650752128,5,53
47,Listing_47,832,Host_475,Manhattan,Neighborhood_171,40.72802164069906,-74.01521914382208,Entire home/apt,200,2,33,2019-01-04 08:23:14.198839768,1.0899414350272658,2,64
48,Listing_48,873,Host_543,Brooklyn,Neighborhood_26,40.69933727548134,-73.96658895275345,Private room,118,2,20,2019-01-04 10:08:05.377075415,4.609332142011283,2,244
49,Listing_49,653,Host_4,Brooklyn,Neighborhood_7,40.71520999118438,-73.88321667990779,Entire home/apt,111,1,33,2019-01-04 11:52:56.555311062,0.29341306463062433,3,199
50,Listing_50,734,Host_194,Manhattan,Neighborhood_34,40.75535308853572,-73.96455002796259,Entire home/apt,167,3,22,2019-01-04 13:37:47.733546709,1.9603749954756569,5,296
51,Listing_51,410,Host_56,Staten Island,Neighborhood_164,40.637321532182746,-74.23362133226074,Entire home/apt,34,2,22,2019-01-04 15:22:38.911782356,1.3134761380791087,1,152
52,Listing_52,70,Host_261,Queens,Neighborhood_134,40.64879616532622,-73.87041390392315,Private room,63,2,32,2019-01-04 17:07:30.090018003,5.493503902037731,5,240
53,Listing_53,387,Host_593,Bronx,Neighborhood_165,40.85745563911464,-73.90621377387141,Entire home/apt,29,3,27,2019-01-04 18:52:21.268253650,1.0679874381950967,1,220
54,Listing_54,983,Host_566,Bronx,Neighborhood_62,40.856708395196726,-73.88878880163918,Entire home/apt,99,7,25,2019-01-04 20:37:12.446489297,3.4717915087860693,5,51
55,Listing_55,524,Host_380,Brooklyn,Neighborhood_86,40.67399655249676,-73.90448133133904,Entire home/apt,127,1,36,2019-01-04 22:22:03.624724945,0.9886989945314393,3,336
56,Listing_56,297,Host_487,Bronx,Neighborhood_73,40.87831116649076,-73.85001487775476,Private room,127,3,25,2019-01-05 00:06:54.802960592,2.84090229166008,2,247
57,Listing_57,617,Host_96,Manhattan,Neighborhood_128,40.764004879693005,-73.97546850805523,Entire home/apt,120,1,27,2019-01-05 01:51:45.981196239,2.480399408190485,4,70
58,Listing_58,719,Host_861,Manhattan,Neighborhood_60,40.78491322479885,-73.9412768214106,Entire home/apt,128,2,21,2019-01-05 03:36:37.159431886,0.2481431534030869,4,143
59,Listing_59,65,Host_336,Manhattan,Neighborhood_64,40.763040092603596,-73.99288968267439,Private room,138,1,28,2019-01-05 05:21:28.337667533,4.955205562203624,3,276
60,Listing_60,575,Host_769,Manhattan,Neighborhood_178,40.70185707187651,-73.94002215975733,Entire home/apt,209,1,29,2019-01-05 07:06:19.515903180,4.6806762906998625,2,217
61,Listing_61,178,Host_716,Brooklyn,Neighborhood_52,40.61021922436897,-74.00316111487663,Private room,146,1,31,2019-01-05 08:51:10.694138827,1.667150232406831,7,324
62,Listing_62,943,Host_723,Manhattan,Neighborhood_145,40.75212677538241,-74.0045110132615,Private room,205,1,20,2019-01-05 10:36:01.872374474,3.6839708213757185,4,4
63,Listing_63,8,Host_329,Bronx,Neighborhood_60,40.81075189132286,-73.89511891832282,Entire home/apt,68,1,22,2019-01-05 12:20:53.050610122,2.17601748528467,2,72
64,Listing_64,159,Host_496,Brooklyn,Neighborhood_77,40.698282776301234,-74.01656082909054,Entire home/apt,93,2,30,2019-01-05 14:05:44.228845769,4.6153628596797285,4,239
65,Listing_65,11,Host_829,Manhattan,Neighborhood_119,40.79759831193924,-73.99019075668392,Private room,154,1,24,2019-01-05 15:50:35.407081416,4.154906737697145,1,274
66,Listing_66,785,Host_638,Brooklyn,Neighborhood_182,40.59779835547943,-73.93592253492649,Entire home/apt,133,3,29,2019-01-05 17:35:26.585317063,0.5428018867197713,4,190
67,Listing_67,411,Host_519,Manhattan,Neighborhood_138,40.76225158684127,-73.99164491530532,Entire home/apt,234,1,34,2019-01-05 19:20:17.763552710,5.0651289922191784,0,5
68,Listing_68,892,Host_926,Bronx,Neighborhood_125,40.86044442252591,-73.91448837697828,Entire home/apt,111,1,30,2019-01-05 21:05:08.941788357,1.0765566305702519,0,318
69,Listing_69,607,Host_125,Manhattan,Neighborhood_153,40.79650316229099,-73.99656423771295,Private room,238,2,20,2019-01-05 22:50:00.120024004,1.0446582147923622,2,13
70,Listing_70,155,Host_783,Staten Island,Neighborhood_18,40.50276846285645,-74.1454222224703,Entire home/apt,130,1,20,2019-01-06 00:34:51.298259651,4.40248124891731,6,207
71,Listing_71,206,Host_620,Queens,Neighborhood_64,40.59037212258645,-73.89194425405037,Private room,116,1,21,2019-01-06 02:19:42.476495299,1.0995063683445718,3,1
72,Listing_72,115,Host_260,Manhattan,Neighborhood_79,40.75125909252673,-73.9902459271027,Private room,196,30,18,2019-01-06 04:04:33.654730946,0.7343817212485713,2,17
73,Listing_73,379,Host_831,Manhattan,Neighborhood_59,40.7799578644102,-73.96774422155659,Entire home/apt,217,1,19,2019-01-06 05:49:24.832966593,2.013496963370886,6,34
74,Listing_74,599,Host_582,Bronx,Neighborhood_155,40.89050171841023,-73.87344559228985,Entire home/apt,165,3,18,2019-01-06 07:34:16.011202240,5.03227488481906,4,249
75,Listing_75,824,Host_550,Queens,Neighborhood_58,40.68198569008085,-73.9043581505748,Shared room,38,1,29,2019-01-06 09:19:07.189437887,1.0608525493951277,3,81
76,Listing_76,709,Host_687,Queens,Neighborhood_61,40.66363689562281,-73.87727444552773,Entire home/apt,163,7,22,2019-01-06 11:03:58.367673534,2.0344379587069206,5,338
77,Listing_77,350,Host_700,Queens,Neighborhood_118,40.79588288946563,-73.95482561422757,Private room,95,1,15,2019-01-06 12:48:49.545909181,1.7175237034635387,2,280
78,Listing_78,98,Host_739,Manhattan,Neighborhood_79,40.76990274140421,-73.99723793749993,Entire home/apt,182,7,32,2019-01-06 14:33:40.724144829,2.1363651883193158,2,56
79,Listing_79,943,Host_770,Brooklyn,Neighborhood_71,40.72028267152563,-74.0476469811266,Entire home/apt,143,1,28,2019-01-06 16:18:31.902380476,4.285630766146174,3,309
80,Listing_80,19,Host_709,Manhattan,Neighborhood_171,40.75878856919298,-73.97487431692642,Entire home/apt,184,1,26,2019-01-06 18:03:23.080616123,2.4327934859063296,2,15
81,Listing_81,313,Host_8,Bronx,Neighborhood_88,40.876980402192096,-73.76980313586105,Entire home/apt,166,2,27,2019-01-06 19:48:14.258851770,4.557460088045056,4,132
82,Listing_82,927,Host_563,Queens,Neighborhood_87,40.754002757541784,-73.94908709117668,Entire home/apt,191,2,23,2019-01-06 21:33:05.437087417,3.842418829490204,4,316
83,Listing_83,528,Host_373,Manhattan,Neighborhood_139,40.73101472210908,-73.97937969473614,Private room,57,1,20,2019-01-06 23:17:56.615323064,2.166595092653504,1,279
84,Listing_84,557,Host_222,Manhattan,Neighborhood_88,40.7384194184926,-73.98108994901092,Entire home/apt,171,1,25,2019-01-07 01:02:47.793558711,2.593444689643383,2,234
85,Listing_85,667,Host_880,Manhattan,Neighborhood_133,40.76237422454995,-73.94528353300441,Entire home/apt,221,3,27,2019-01-07 02:47:38.971794358,4.221736272351019,7,127
86,Listing_86,445,Host_531,Manhattan,Neighborhood_186,40.73604630291493,-73.98126202827208,Entire home/apt,312,1,28,2019-01-07 04:32:30.150030006,3.208532479069381,4,62
87,Listing_87,922,Host_350,Queens,Neighborhood_39,40.78063762362819,-73.74447822828982,Private room,39,2,29,2019-01-07 06:17:21.328265653,5.2100409685643205,1,172
88,Listing_88,231,Host_759,Queens,Neighborhood_176,40.568339997364376,-73.93188792835595,Entire home/apt,72,2,27,2019-01-07 08:02:12.506501300,5.599100510860604,3,343
89,Listing_89,669,Host_31,Bronx,Neighborhood_80,40.870482102385246,-73.90557242676552,Private room,49,2,18,2019-01-07 09:47:03.684736947,4.306243956230055,4,124
90,Listing_90,625,Host_592,Brooklyn,Neighborhood_20,40.658355989595016,-74.04855601059926,Entire home/apt,140,1,33,2019-01-07 11:31:54.862972594,5.935242718933675,6,79
91,Listing_91,889,Host_358,Manhattan,Neighborhood_81,40.748403894022786,-73.9319557462601,Entire home/apt,355,2,23,,3.57922072451601,6,110
92,Listing_92,359,Host_22,Queens,Neighborhood_19,40.76726698697721,-73.86664159744878,Entire home/apt,74,1,27,2019-01-07 15:01:37.219443888,0.2389847418642448,1,166
93,Listing_93,383,Host_289,Queens,Neighborhood_188,40.77608906784729,-73.89872135027402,Private room,113,1,25,2019-01-07 16:46:28.397679536,3.0291123367629806,6,283
94,Listing_94,512,Host_754,Brooklyn,Neighborhood_154,40.716238783201554,-73.98810368416102,Entire home/apt,102,2,21,2019-01-07 18:31:19.575915183,1.3800556763151535,2,122
95,Listing_95,44,Host_214,Queens,Neighborhood_153,40.66424804005191,-73.90189147829348,Entire home/apt,134,7,27,2019-01-07 20:16:10.754150830,2.0022790823058516,2,260
96,Listing_96,365,Host_712,Brooklyn,Neighborhood_143,40.68583936846647,-74.01183810171074,Entire home/apt,312,1,24,2019-01-07 22:01:01.932386477,2.940420312889218,3,204
97,Listing_97,925,Host_165,Brooklyn,Neighborhood_149,40.7233432069672,-74.04427376123287,Private room,52,1,34,2019-01-07 23:45:53.110622124,1.7703048264649885,2,14
98,Listing_98,877,Host_140,Brooklyn,Neighborhood_175,40.609959242016686,-74.0015378787225,Entire home/apt,172,2,30,2019-01-08 01:30:44.288857771,1.85772983259102,3,104
99,Listing_99,622,Host_370,Manhattan,Neighborhood_163,40.74913490902688,-73.94147810290674,Entire home/apt,126,1,29,2019-01-08 03:15:35.467093418,2.4120980184610934,3,48
100,Listing_100,111,Host_965,Manhattan,Neighborhood_172,40.771206342140914,-73.96780342175184,Entire home/apt,186,2,32,2019-01-08 05:00:26.645329065,1.718744086537865,3,259
101,Listing_101,223,Host_320,Manhattan,Neighborhood_134,40.716641428431096,-73.94922693526345,Entire home/apt,250,30,32,2019-01-08 06:45:17.823564713,1.017005971087485,2,13
102,Listing_102,386,Host_409,Queens,Neighborhood_116,40.605014757212636,-73.85156733063657,Private room,63,30,20,2019-01-08 08:30:09.001800360,4.593361575427873,5,218
103,Listing_103,902,Host_438,Manhattan,Neighborhood_101,40.712654445871344,-73.96909196058537,Private room,217,1,27,2019-01-08 10:15:00.180036007,2.3712705742430655,4,86
104,Listing_104,265,Host_797,Brooklyn,Neighborhood_151,40.60130924141646,-73.90904083277356,Entire home/apt,128,2,21,2019-01-08 11:59:51.358271654,4.9905438029397615,0,356
105,Listing_105,271,Host_13,Bronx,Neighborhood_39,40.85345199383445,-73.77233811779793,Entire home/apt,99,7,24,2019-01-08 13:44:42.536507301,5.296301937087771,2,219
106,Listing_106,212,Host_501,Manhattan,Neighborhood_146,40.752099138864935,-73.97611614057554,Entire home/apt,319,1,31,2019-01-08 15:29:33.714742948,4.50578091691092,3,299
107,Listing_107,496,Host_26,Brooklyn,Neighborhood_168,40.59603250626305,-73.88577789445169,Entire home/apt,301,2,25,2019-01-08 17:14:24.892978595,2.3800389722510067,2,332
108,Listing_108,314,Host_534,Queens,Neighborhood_36,40.653231307137844,-73.94118938742665,Entire home/apt,160,1,17,2019-01-08 18:59:16.071214242,4.327932678128847,4,163
109,Listing_109,770,Host_861,Manhattan,Neighborhood_156,40.710036749509506,-73.96295988644111,Private room,120,1,19,2019-01-08 20:44:07.249449890,0.9313230262714376,4,159
110,Listing_110,387,Host_76,Manhattan,Neighborhood_192,40.78801313534336,-73.94010218415275,Private room,248,30,29,2019-01-08 22:28:58.427685537,3.9666945549333152,1,364
111,Listing_111,247,Host_366,Manhattan,Neighborhood_83,40.76015485063797,-73.96543147473629,Shared room,74,3,31,2019-01-09 00:13:49.605921184,2.4361923837231663,2,64
112,Listing_112,948,Host_491,Manhattan,Neighborhood_94,40.73650253040388,-73.9385973465447,Private room,234,1,20,2019-01-09 01:58:40.784156831,3.933866489950349,4,191
113,Listing_113,567,Host_92,Bronx,Neighborhood_186,40.91967678693605,-73.84610493810766,Private room,19,3,32,2019-01-09 03:43:31.962392478,4.52874355285034,5,3
114,Listing_114,821,Host_841,Bronx,Neighborhood_166,40.81319177275071,-73.84277819811322,Private room,78,2,22,2019-01-09 05:28:23.140628125,3.3761189281998103,4,125
115,Listing_115,350,Host_887,Queens,Neighborhood_172,40.7450312589282,-73.77591381616054,Entire home/apt,149,7,23,2019-01-09 07:13:14.318863772,3.854871558329364,2,256
116,Listing_116,72,Host_266,Bronx,Neighborhood_2,40.82304831777867,-73.78344570540716,Private room,90,1,22,2019-01-09 08:58:05.497099419,1.2811675884315483,3,123
117,Listing_117,296,Host_560,Bronx,Neighborhood_73,40.80695923275168,-73.76414715533986,Entire home/apt,102,1,39,2019-01-09 10:42:56.675335067,3.5561973282559913,2,209
118,Listing_118,213,Host_499,Manhattan,Neighborhood_35,40.786832396365035,-73.9396087467511,Entire home/apt,233,1,26,2019-01-09 12:27:47.853570714,2.7628457327714946,2,76
119,Listing_119,295,Host_170,Bronx,Neighborhood_129,40.874032225766555,-73.83728831513729,Private room,73,2,28,2019-01-09 14:12:39.031806361,2.5683171573432446,3,216
120,Listing_120,171,Host_346,Brooklyn,Neighborhood_174,40.58768095237855,-73.90089938292944,Entire home/apt,223,1,16,2019-01-09 15:57:30.210042008,2.461894526227767,4,20
121,Listing_121,246,Host_757,Bronx,Neighborhood_188,40.85534317464682,-73.84639207520519,Entire home/apt,253,1,19,2019-01-09 17:42:21.388277655,1.8655441679152116,1,334
122,Listing_122,141,Host_228,Bronx,Neighborhood_63,40.81233258423211,-73.882618668426,Private room,72,30,26,2019-01-09 19:27:12.566513302,1.8320079743185709,2,168
123,Listing_123,616,Host_699,Manhattan,Neighborhood_95,40.797297738042026,-74.0062197898805,Entire home/apt,191,7,34,,4.198238567703222,1,296
124,Listing_124,617,Host_949,Manhattan,Neighborhood_45,40.726927042430525,-73.96684693080353,Entire home/apt,188,2,29,2019-01-09 22:56:54.922984597,3.3467985350138667,2,9
125,Listing_125,240,Host_680,Manhattan,Neighborhood_125,40.77937174257852,-73.94933174188785,Private room,97,7,24,2019-01-10 00:41:46.101220244,0.17971264418198563,2,116
126,Listing_126,933,Host_203,Brooklyn,Neighborhood_185,40.61559765563058,-73.99226673946491,Private room,114,7,22,2019-01-10 02:26:37.279455891,0.29115138047321865,5,196
127,Listing_127,311,Host_446,Bronx,Neighborhood_37,40.84437433051733,-73.83491868174694,Private room,57,2,18,2019-01-10 04:11:28.457691538,3.42071400628936,5,171
128,Listing_128,416,Host_518,Bronx,Neighborhood_7,40.81436346743789,-73.85380148104161,Entire home/apt,115,2,20,2019-01-10 05:56:19.635927185,5.077700872830961,4,186
129,Listing_129,398,Host_132,Manhattan,Neighborhood_110,40.778094481895046,-73.94435953765252,Entire home/apt,116,7,21,2019-01-10 07:41:10.814162832,0.263866867253739,5,165
130,Listing_130,833,Host_245,Brooklyn,Neighborhood_144,40.62854142041511,-73.8822685691015,Private room,147,2,25,2019-01-10 09:26:01.992398479,3.043241604660681,4,229
131,Listing_131,923,Host_91,Brooklyn,Neighborhood_178,40.716183590061924,-73.97736216078182,Private room,84,1,33,2019-01-10 11:10:53.170634126,,4,279
132,Listing_132,792,Host_823,Manhattan,Neighborhood_142,40.728715226343766,-73.97493385844702,Entire home/apt,539,1,19,2019-01-10 12:55:44.348869774,0.02668786859297545,0,151
133,Listing_133,883,Host_126,Manhattan,Neighborhood_134,40.76937412986983,-73.95163943494775,Entire home/apt,99,2,24,2019-01-10 14:40:35.527105421,1.6547634456108367,1,231
134,Listing_134,881,Host_472,Manhattan,Neighborhood_189,40.78529839690301,-73.93244290557608,Entire home/apt,178,7,29,2019-01-10 16:25:26.705341068,5.519521310076245,2,274
135,Listing_135,22,Host_965,Bronx,Neighborhood_149,40.84125357061445,-73.81489606476832,Private room,100,2,19,2019-01-10 18:10:17.883576715,0.4888177403494276,3,339
136,Listing_136,78,Host_242,Manhattan,Neighborhood_138,40.74759816903492,-73.9305604207509,Entire home/apt,151,7,21,2019-01-10 19:55:09.061812362,3.641978864996919,2,115
137,Listing_137,813,Host_502,Brooklyn,Neighborhood_32,40.61776826800203,-73.9759359649099,Private room,93,3,30,2019-01-10 21:40:00.240048009,3.0442899995959616,9,74
138,Listing_138,904,Host_761,Queens,Neighborhood_134,40.54526142048638,-73.82376177645918,Entire home/apt,204,1,24,2019-01-10 23:24:51.418283656,0.9100761788932692,2,86
139,Listing_139,475,Host_387,Brooklyn,Neighborhood_2,40.72610468374581,-73.86770919930903,Private room,386,3,17,2019-01-11 01:09:42.596519303,0.25492205991687045,3,78
140,Listing_140,707,Host_7,Staten Island,Neighborhood_39,40.524256916749515,-74.18253467047326,Private room,78,1,26,2019-01-11 02:54:33.774754951,3.015522610467003,6,84
141,Listing_141,832,Host_88,Staten Island,Neighborhood_49,40.619774394540585,-74.14995208932781,Private room,28,2,24,2019-01-11 04:39:24.952990598,4.410781133934357,7,99
142,Listing_142,353,Host_598,Manhattan,Neighborhood_27,40.75720998169716,-73.9432287796911,Entire home/apt,149,3,25,2019-01-11 06:24:16.131226245,1.063456663947465,3,126
143,Listing_143,371,Host_908,Brooklyn,Neighborhood_56,40.68708718761254,-73.96291277421959,Private room,87,2,27,2019-01-11 08:09:07.309461892,4.147918972922338,4,31
144,Listing_144,943,Host_867,Manhattan,Neighborhood_14,40.729464890306254,-74.0154983061188,Private room,167,3,21,2019-01-11 09:53:58.487697539,3.2782998705125843,5,265
145,Listing_145,21,Host_145,Manhattan,Neighborhood_151,40.72515130396764,-73.95747954433628,Entire home/apt,92,1,30,2019-01-11 11:38:49.665933186,2.1470785535443992,1,314
146,Listing_146,507,Host_451,Manhattan,Neighborhood_103,40.77694853873156,-73.99796894328735,Private room,138,3,27,2019-01-11 13:23:40.844168833,3.986582977350916,1,301
147,Listing_147,160,Host_331,Queens,Neighborhood_118,40.60408425648995,-73.95765852729123,Private room,44,1,40,2019-01-11 15:08:32.022404481,1.1518606655029442,3,100
148,Listing_148,744,Host_710,Brooklyn,Neighborhood_122,40.61532071255163,-74.02245433969657,Private room,152,2,24,2019-01-11 16:53:23.200640128,2.7415879257087683,1,287
149,Listing_149,361,Host_875,Manhattan,Neighborhood_105,40.75286298375366,-73.966889521989,Private room,95,2,30,2019-01-11 18:38:14.378875775,3.2958298893894,3,83
150,Listing_150,813,Host_164,Manhattan,Neighborhood_179,40.72980416983469,-74.01684415458831,Entire home/apt,261,2,24,2019-01-11 20:23:05.557111422,2.752173241593341,3,294
151,Listing_151,556,Host_657,Bronx,Neighborhood_25,40.893519024175795,-73.85660541994672,Entire home/apt,74,1,22,2019-01-11 22:07:56.735347069,2.3850082611430112,3,178
152,Listing_152,297,Host_342,Manhattan,Neighborhood_53,40.745299810083,-73.97384056577414,Entire home/apt,354,1,27,2019-01-11 23:52:47.913582716,4.44548183740942,1,143
153,Listing_153,352,Host_1,Manhattan,Neighborhood_11,40.712158734953356,-73.96995483983277,Private room,100,2,24,2019-01-12 01:37:39.091818363,3.936605799134099,4,294
154,Listing_154,180,Host_120,Brooklyn,Neighborhood_163,40.62904664348641,-73.96150173726639,Private room,145,2,32,2019-01-12 03:22:30.270054010,3.836772512168502,3,315
155,Listing_155,472,Host_579,Staten Island,Neighborhood_183,40.59304182256513,-74.14571799955614,Private room,57,2,35,2019-01-12 05:07:21.448289658,5.350803869481373,2,336
156,Listing_156,395,Host_464,Manhattan,Neighborhood_186,40.773979637193605,-73.95646570440596,Entire home/apt,544,2,33,2019-01-12 06:52:12.626525305,,0,227
157,Listing_157,613,Host_867,Queens,Neighborhood_196,40.76712549659088,-73.84760946517507,Entire home/apt,264,7,22,2019-01-12 08:37:03.804760952,3.403227199321246,2,191
